0.024	0.000458405 	0.798976 	0.000272835 	0.795593 	-0.00269201 	0.809184 	1.57413 	-0.0399577 	-7.75863e-06 	-14.5516 	-1.02412 	0.903077 	25.8532 	-61.3936 	-14.6968 	0	
0.025	0.000513445 	0.798867 	0.00028263 	0.795652 	-0.0029603 	0.8091 	1.57453 	-0.0399572 	-6.92233e-06 	-13.54 	-1.09677 	1.78614 	25.9576 	-55.5596 	-13.6384 	0	
0.026	0.000571104 	0.798764 	0.00029232 	0.795711 	-0.00324182 	0.808997 	1.57494 	-0.0399566 	-6.05693e-06 	-12.5662 	-1.19335 	2.61438 	26.03 	-49.1353 	-12.6521 	0	
0.027	0.000631472 	0.798665 	0.000301648 	0.795771 	-0.00353635 	0.808879 	1.57536 	-0.039956 	-5.22688e-06 	-11.6221 	-1.2993 	3.40046 	26.0972 	-42.3122 	-11.7777 	0	
0.028	0.000694584 	0.798569 	0.000310478 	0.795835 	-0.00384379 	0.808747 	1.5758 	-0.0399553 	-4.47166e-06 	-10.7026 	-1.39782 	4.15306 	26.1891 	-35.2585 	-11.0593 	0	
0.029	0.000760406 	0.798475 	0.000318824 	0.7959 	-0.0041642 	0.808605 	1.57626 	-0.0399544 	-3.79707e-06 	-9.80549 	-1.47711 	4.8767 	26.3234 	-28.117 	-10.5211 	0	
0.03	0.000828851 	0.798383 	0.000326811 	0.79597 	-0.00449777 	0.808454 	1.57673 	-0.0399535 	-3.18213e-06 	-8.93074 	-1.53404 	5.57233 	26.498 	-21.0067 	-10.1566 	0	
0.031	0.000899823 	0.798291 	0.00033459 	0.796042 	-0.00484467 	0.808297 	1.57721 	-0.0399524 	-2.59526e-06 	-8.07999 	-1.57353 	6.23818 	26.6942 	-14.0251 	-9.93377 	0	
0.032	0.000973251 	0.798198 	0.000342255 	0.796119 	-0.00520506 	0.808136 	1.57771 	-0.0399513 	-2.0109e-06 	-7.25605 	-1.60474 	6.87069 	26.8864 	-7.25137 	-9.80957 	0	
0.033	0.00104911 	0.798105 	0.000349807 	0.7962 	-0.00557894 	0.807974 	1.57822 	-0.0399502 	-1.41912e-06 	-6.4624 	-1.6364 	7.46537 	27.0536 	-0.749485 	-9.74746 	0	
0.034	0.00112743 	0.798011 	0.000357162 	0.796286 	-0.00596627 	0.807812 	1.57875 	-0.039949 	-8.25876e-07 	-5.70284 	-1.67345 	8.01739 	27.1861 	5.42918 	-9.72805 	0	
0.035	0.00120823 	0.797914 	0.000364199 	0.796377 	-0.00636691 	0.807653 	1.57929 	-0.0399477 	-2.45979e-07 	-4.98113 	-1.71602 	8.52216 	27.2863 	11.2438 	-9.75021 	0	
0.036	0.00129154 	0.797814 	0.000370815 	0.796473 	-0.00678077 	0.807498 	1.57984 	-0.0399464 	3.06421e-07 	-4.30071 	-1.76076 	8.97565 	27.3642 	16.6626 	-9.82411 	0	
0.037	0.00137736 	0.797711 	0.000376959 	0.796575 	-0.00720777 	0.807349 	1.58041 	-0.039945 	8.24856e-07 	-3.6644 	-1.80327 	9.37467 	27.4301 	21.6617 	-9.96075 	0	
0.038	0.00146567 	0.797605 	0.000382642 	0.796682 	-0.00764789 	0.807207 	1.581 	-0.0399436 	1.31244e-06 	-3.07431 	-1.84041 	9.71697 	27.4895 	26.2241 	-10.1637 	0	
0.039	0.0015564 	0.797494 	0.000387913 	0.796796 	-0.00810115 	0.807074 	1.5816 	-0.0399421 	1.77887e-06 	-2.53174 	-1.87148 	10.0013 	27.5412 	30.3394 	-10.4262 	0	
0.04	0.00164952 	0.79738 	0.000392824 	0.796916 	-0.00856753 	0.80695 	1.58221 	-0.0399405 	2.23496e-06 	-2.03727 	-1.89796 	10.2273 	27.5785 	34.0032 	-10.7335 	0	
0.041	0.00174496 	0.797261 	0.000397407 	0.797042 	-0.00904702 	0.806836 	1.58284 	-0.0399389 	2.68766e-06 	-1.59082 	-1.92236 	10.3955 	27.594 	37.2165 	-11.069 	0	
0.042	0.00184271 	0.797137 	0.000401662 	0.797176 	-0.00953954 	0.806733 	1.58348 	-0.0399373 	3.1378e-06 	-1.19182 	-1.94678 	10.5072 	27.5824 	39.9854 	-11.4201 	0	
0.043	0.00194274 	0.797008 	0.000405561 	0.797316 	-0.010045 	0.806642 	1.58413 	-0.0399357 	3.58105e-06 	-0.839268 	-1.97207 	10.5644 	27.5431 	42.3204 	-11.7808 	0	
