0  0  0 
0.001  -5.9284e-08  -8.89269e-08 
0.002  -1.38329e-07  -2.07496e-07 
0.003  -2.17285e-07  -3.25932e-07 
0.004  -2.96093e-07  -4.44144e-07 
0.005  -3.74742e-07  -5.62118e-07 
0.006  -4.53232e-07  -6.79853e-07 
0.007  -5.31563e-07  -7.9735e-07 
0.008  -6.09735e-07  -9.14607e-07 
0.009  -6.87749e-07  -1.03163e-06 
0.01  -7.65604e-07  -1.14841e-06 
0.011  -8.433e-07  -1.26495e-06 
0.012  -9.20837e-07  -1.38125e-06 
0.013  -9.98216e-07  -1.49731e-06 
0.014  -1.07544e-06  -1.61313e-06 
0.015  -1.1525e-06  -1.72871e-06 
0.016  -1.2294e-06  -1.84406e-06 
0.017  -1.30614e-06  -1.95916e-06 
0.018  -1.38273e-06  -2.07402e-06 
0.019  -1.45915e-06  -2.18865e-06 
0.02  -1.53542e-06  -2.30303e-06 
0.021  -1.61153e-06  -2.41717e-06 
0.022  -1.68748e-06  -2.53108e-06 
0.023  -1.76327e-06  -2.64474e-06 
0.024  -1.8389e-06  -2.75816e-06 
0.025  -1.91438e-06  -2.87134e-06 
0.026  -1.98969e-06  -2.98428e-06 
0.027  -2.06485e-06  -3.09699e-06 
0.028  -2.13985e-06  -3.20944e-06 
0.029  -2.21469e-06  -3.32166e-06 
0.03  -2.28937e-06  -3.43364e-06 
0.031  -2.36389e-06  -3.54538e-06 
0.032  -2.43825e-06  -3.65687e-06 
0.033  -2.51246e-06  -3.76813e-06 
0.034  -2.58651e-06  -3.87914e-06 
0.035  -2.6604e-06  -3.98991e-06 
0.036  -2.73413e-06  -4.10044e-06 
0.037  -2.8077e-06  -4.21073e-06 
0.038  -2.88111e-06  -4.32078e-06 
0.039  -2.95437e-06  -4.43059e-06 
0.04  -3.02746e-06  -4.54015e-06 
0.041  -3.1004e-06  -4.64947e-06 
0.042  -3.17318e-06  -4.75855e-06 
0.043  -3.2458e-06  -4.86739e-06 
0.044  -3.31827e-06  -4.97599e-06 
0.045  -3.39057e-06  -5.08434e-06 
0.046  -3.46272e-06  -5.19246e-06 
0.047  -3.53471e-06  -5.30033e-06 
0.048  -3.60654e-06  -5.40795e-06 
0.049  -3.67821e-06  -5.51534e-06 
0.05  -3.74972e-06  -5.62248e-06 
0.051  -3.82108e-06  -5.72939e-06 
0.052  -3.89228e-06  -5.83604e-06 
0.053  -3.96332e-06  -5.94246e-06 
0.054  -4.0342e-06  -6.04864e-06 
0.055  -4.10492e-06  -6.15457e-06 
0.056  -4.17549e-06  -6.26026e-06 
0.057  -4.2459e-06  -6.3657e-06 
0.058  -4.31615e-06  -6.47091e-06 
0.059  -4.38624e-06  -6.57587e-06 
0.06  -4.45618e-06  -6.68059e-06 
0.061  -4.52596e-06  -6.78506e-06 
0.062  -4.59558e-06  -6.88929e-06 
0.063  -4.66504e-06  -6.99328e-06 
0.064  -4.73434e-06  -7.09703e-06 
0.065  -4.80349e-06  -7.20054e-06 
0.066  -4.87248e-06  -7.3038e-06 
0.067  -4.94131e-06  -7.40681e-06 
0.068  -5.00998e-06  -7.50959e-06 
0.069  -5.0785e-06  -7.61212e-06 
0.07  -5.14686e-06  -7.71441e-06 
0.071  -5.21506e-06  -7.81646e-06 
0.072  -5.28311e-06  -7.91826e-06 
0.073  -5.35099e-06  -8.01982e-06 
0.074  -5.41872e-06  -8.12113e-06 
0.075  -5.4863e-06  -8.22221e-06 
0.076  -5.55371e-06  -8.32304e-06 
0.077  -5.62097e-06  -8.42362e-06 
0.078  -5.68807e-06  -8.52397e-06 
0.079  -5.75502e-06  -8.62407e-06 
0.08  -5.82181e-06  -8.72392e-06 
0.081  -5.88844e-06  -8.82354e-06 
0.082  -5.95491e-06  -8.92291e-06 
0.083  -6.02123e-06  -9.02203e-06 
0.084  -6.08739e-06  -9.12092e-06 
0.085  -6.15339e-06  -9.21956e-06 
0.086  -6.21924e-06  -9.31795e-06 
0.087  -6.28493e-06  -9.41611e-06 
0.088  -6.35046e-06  -9.51402e-06 
0.089  -6.41584e-06  -9.61168e-06 
0.09  -6.48106e-06  -9.70911e-06 
0.091  -6.54613e-06  -9.80629e-06 
0.092  -6.61103e-06  -9.90322e-06 
0.093  -6.67578e-06  -9.99992e-06 
0.094  -6.74038e-06  -1.00964e-05 
0.095  -6.80482e-06  -1.01926e-05 
0.096  -6.8691e-06  -1.02885e-05 
0.097  -6.93323e-06  -1.03843e-05 
0.098  -6.9972e-06  -1.04797e-05 
0.099  -7.06101e-06  -1.0575e-05 
0.1  -7.12467e-06  -1.067e-05 
0.101  -7.18818e-06  -1.07647e-05 
0.102  -7.25152e-06  -1.08592e-05 
0.103  -7.31471e-06  -1.09535e-05 
0.104  -7.37775e-06  -1.10475e-05 
0.105  -7.44063e-06  -1.11412e-05 
0.106  -7.50335e-06  -1.12348e-05 
0.107  -7.56592e-06  -1.13281e-05 
0.108  -7.62834e-06  -1.14211e-05 
0.109  -7.69059e-06  -1.15139e-05 
0.11  -7.7527e-06  -1.16065e-05 
0.111  -7.81464e-06  -1.16988e-05 
0.112  -7.87644e-06  -1.17908e-05 
0.113  -7.93807e-06  -1.18827e-05 
0.114  -7.99955e-06  -1.19743e-05 
0.115  -8.06088e-06  -1.20656e-05 
0.116  -8.12205e-06  -1.21567e-05 
0.117  -8.18307e-06  -1.22476e-05 
0.118  -8.24393e-06  -1.23382e-05 
0.119  -8.30464e-06  -1.24285e-05 
0.12  -8.36519e-06  -1.25187e-05 
0.121  -8.42559e-06  -1.26085e-05 
